-1.05E+01,-1.68E+01,6.800388909460674824e+01,1.070283962648365517e+01,-5.16E-02,-3.12E+02,1.155840755312758859e+02,-9.34E+02,4.868672777069743063e+01
-9.55E+00,-1.03E+01,4.865148563361281475e+01,1.073151458650541912e+01,-7.26E-02,-2.27E+02,6.047958149201000566e+01,-5.76E+02,3.271112701118493504e+01
-8.55E+00,-1.91E+01,6.198225424539143091e+01,1.047289304465283877e+01,-5.14E-02,-2.58E+02,1.007555790892371306e+02,-4.76E+02,3.507284228980385876e+01
-7.55E+00,-1.26E+01,5.298035126127631145e+01,1.053285447779519757e+01,-6.43E-02,-1.80E+02,7.922394355533927524e+01,-2.04E+02,2.505047005241825531e+01
-6.55E+00,-1.29E+01,4.745694059269874288e+01,1.067391415237019281e+01,-6.51E-02,-1.57E+02,6.963085749440583072e+01,7.877274230388525211e+01,2.097604378489026544e+01
-5.55E+00,-1.17E+01,3.930578625477221522e+01,1.062558721966308539e+01,-8.92E-02,-1.27E+02,5.452993237818969874e+01,1.899583238247900567e+02,8.592896344155359856e+00
-4.55E+00,-8.30E+00,2.990676971096111103e+01,1.019023333042828483e+01,-5.12E-02,-8.45E+01,3.786368667373188401e+01,-3.07E+00,2.187855669326474839e+01
-3.55E+00,-3.91E+00,3.941855134190985410e+01,1.018106211426546004e+01,-9.97E-02,-3.88E+01,7.722829289715934920e+01,7.494097580752165300e+01,1.241955892612890411e+00
-2.55E+00,-1.15E+00,2.323198109824493329e+01,1.005317427684678222e+01,-8.74E-02,-8.93E+00,4.516903662169065115e+01,4.855528095963557433e+01,5.473603252560251597e+00
-1.55E+00,2.984624002195705117e+00,1.708302214823695664e+01,1.019784559702168458e+01,-7.83E-02,2.688643215334609238e+01,4.378866975667035888e+01,1.976681154036927524e+02,8.788713894939665039e+00
-5.49E-01,3.190290708194772229e+00,2.448375166656194324e+01,9.942378780635650060e+00,-6.10E-02,2.992324201304855791e+01,8.312169851545851884e+01,5.739137323152936432e+01,1.559179095027427664e+01
4.511864960726752471e-01,9.180665498096743704e+00,1.626404081933299040e+01,1.010585728739372158e+01,-9.01E-02,7.138124448803897337e+01,7.982489765837830475e+01,2.070834762366768018e+02,3.951405299541863592e+00
1.451186496072675247e+00,3.969156738118111871e+00,-2.55E+00,1.015201269900374825e+01,-5.69E-02,2.669210093057164102e+01,4.827105575731309273e+01,2.773565316146272153e+02,1.718346183824792206e+01
2.451186496072675247e+00,1.607413453800953107e+01,5.719301763937746585e+00,9.916684316520354869e+00,-5.08E-02,1.049905254788180287e+02,9.607324634153972909e+01,1.592980501036214207e+02,1.929982601408550380e+01
3.451186496072675247e+00,5.313186890114242722e+00,-1.08E+01,1.006556812618643093e+01,-9.18E-02,1.160549674329520187e+01,7.506179377180197321e+01,3.248952220736811682e+02,2.249194668578094358e+00
